City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
300,paseh,-7.1026,107.7641,26.05,42,11,1.73,ID,1724984117
301,fort st. john,56.2499,-120.8529,16.82,49,100,1.74,CA,1724984118
302,darwin,-12.4611,130.8418,31.08,45,20,2.57,AU,1724984119
303,ofunato,39.0717,141.7167,22.82,99,100,2.33,JP,1724984121
304,sampit,-2.5333,112.95,27.9,75,62,1.84,ID,1724984122
305,sao gabriel da cachoeira,-0.1303,-67.0892,24.85,75,92,0.71,BR,1724984123
306,labytnangi,66.6572,66.4183,7.84,74,98,4.77,RU,1724983965
307,chernyshevskiy,63.0128,112.4714,11.81,69,100,1.59,RU,1724984125
308,fort mcmurray,56.7268,-111.381,17.63,55,8,2.64,CA,1724983946
309,suva,-18.1416,178.4415,26.71,74,75,5.66,FJ,1724984127
310,dar kulayb,26.0686,50.5039,35.57,61,17,8.56,BH,1724984128
311,yonggwang-up,40.0183,127.4547,25.07,63,13,2.06,KP,1724984130
312,pachora,20.6667,75.35,25.26,84,100,1.45,IN,1724984131
313,langsa,4.4683,97.9683,27.89,80,96,1.03,ID,1724984132
314,hargeysa,9.56,44.065,21.14,73,79,8.73,SO,1724984133
315,ahraura,25.0167,83.0167,28.69,76,3,0.84,IN,1724984134
316,nizhniy odes,63.6445,54.856,9.23,82,100,4.19,RU,1724984135
317,hasaki,35.7333,140.8333,27.26,85,100,9.13,JP,1724984136
318,anna regina,7.2644,-58.5077,26.03,88,77,2.92,GY,1724984137
319,samdrup jongkhar,26.9167,91.6167,24.17,70,51,0.78,BT,1724984139
320,quellon,-43.1167,-73.6167,6.04,78,5,2.94,CL,1724984140
321,mungwi,-10.1732,31.3694,16.73,62,1,1.63,ZM,1724984141
322,colares,38.7992,-9.4469,19.63,85,16,8.07,PT,1724984142
323,jinjiang,24.8198,118.5741,31.07,66,6,1.51,CN,1724984143
324,namdrik,5.5994,168.1028,29.09,76,20,6.85,MH,1724984144
325,lazaro cardenas,17.9583,-102.2,27.87,79,100,2.5,MX,1724984145
326,ust'-barguzin,53.45,108.9833,14.48,74,37,1.4,RU,1724984146
327,parnaiba,-2.9047,-41.7767,25.22,79,1,4.89,BR,1724984149
328,isna,25.2934,32.554,33.05,22,7,4.72,EG,1724984151
329,pacific grove,36.6177,-121.9166,17.58,84,100,3.09,US,1724983940
330,lent'ekhi,42.7856,42.7261,16.06,65,4,2.3,GE,1724984153
331,port mathurin,-19.6833,63.4167,22.11,66,64,11.17,MU,1724984155
332,ancud,-41.8697,-73.8203,5.93,83,7,1.72,CL,1724984156
333,mihona,26.2844,78.9817,29.03,67,100,0.96,IN,1724984157
334,chyhyryn,49.0838,32.6555,21.99,47,100,3.03,UA,1724984159
335,ellsworth,44.5434,-68.4195,14.74,91,0,0.0,US,1724983949
336,tarko-sale,64.9225,77.785,9.14,84,71,9.46,RU,1724984161
337,campo gallo,-26.5833,-62.85,19.14,43,0,4.67,AR,1724984162
338,presidencia de la plaza,-27.0015,-59.8424,19.35,68,99,4.33,AR,1724984165
339,mangochi,-14.4782,35.2645,21.64,78,12,1.21,MW,1724984166
340,selfoss,63.9331,-20.9971,8.91,92,95,3.32,IS,1724984167
341,susuman,62.7833,148.1667,7.17,89,100,0.89,RU,1724984168
342,dire dawa,9.5931,41.8661,21.12,78,96,2.58,ET,1724984169
343,mikun',62.3547,50.0771,9.13,98,30,2.74,RU,1724984170
344,turkmenbasy,40.0222,52.9552,21.43,30,0,6.17,TM,1724984114
345,pahrump,36.2083,-115.9839,36.08,14,0,0.45,US,1724984173
346,vadso,70.0744,29.7487,13.09,88,75,3.6,NO,1724984174
347,terenos,-20.4422,-54.8603,27.84,32,0,4.12,BR,1724984175
348,zaozersk,69.4005,32.4476,11.43,85,100,4.34,RU,1724984176
349,port saint john's,-31.6229,29.5448,11.61,70,4,2.58,ZA,1724984177
350,guerrero negro,27.9769,-114.0611,20.74,77,0,7.93,MX,1724984178
351,nassau,40.7507,-73.5829,21.82,77,75,3.09,US,1724984179
352,letlhakane,-21.4167,25.5833,13.49,86,1,6.85,BW,1724984181
353,cidreira,-30.1811,-50.2056,15.5,81,100,0.69,BR,1724984182
354,harstad,68.799,16.5293,14.53,80,92,2.81,NO,1724984184
355,bowie,33.4501,-94.4335,25.35,75,9,2.28,US,1724984185
356,sorong,-0.8833,131.25,26.31,87,99,5.47,ID,1724984171
357,changde,29.0464,111.6783,28.76,71,2,0.85,CN,1724984187
358,dudinka,69.4058,86.1778,11.43,96,100,3.13,RU,1724984188
359,nakamura,32.9833,132.9333,26.39,98,100,3.99,JP,1724984190
360,bamboo flat,11.7,92.7167,26.59,79,100,10.46,IN,1724984191
361,roxas,11.5853,122.7511,29.35,72,84,1.63,PH,1724984192
362,obonoma,4.7084,6.7931,24.06,93,100,2.79,NG,1724984193
363,cromer,52.9312,1.2989,13.0,72,26,3.1,GB,1724984194
